2,Storylines for Sept. 25 weekend,"What a weekend of college football! It was puzzling, exciting, dramatic, thrilling, crushing, and suspenseful. But there was one thing it never was."
1,Woman Palestinian Suicide Bomber Kills Two Israelis In Jerusalem &lt;b&gt;...&lt;/b&gt;,"JERUSALEM, Sept 22 (AFP) - Two Israelis, including a policeman, were killed and 16 other people wounded Wednesday when a teenage Palestinian suicide bomber blew herself up at a police checkpoint next to a group of bus stops in Jerusalem."
1,Baghdad Violence Kills at Least 17,"Car bombs and clashes have shaken the Iraqi capital Wednesday, killing at least 17 people and wounding dozens more. A suicide car bomber killed seven people and wounded more than 50 outside a photocopy shop "
1,Belgian PM injured in traffic accident,"Brussels - Belgian Prime Minister Guy Verhofstadt was in hospital on Tuesday after being involved in a traffic accident in which his vehicle overturned, Belga news agency reported."
1,Australia gave visa to lead terrorist,"The Australian Government has confirmed that its embassy in Pakistan issued a visa to al Qaeda #39;s former military commander a month before the September 11, 2001, terror attacks in the United States."
1,The China Post,President Chen Shui bian said yesterday he does not expect China to ease its military threat against the island after Chinese President Hu Jintao took over as the country #39;s top military chief.
4,News: Click here to become infected,Users should be wary of pressing the 'click here to remove' link on spam messages because it serves to confirm to spammers that junk mail messages are being read.
3,Update 5: Oil Prices Rise After Government Report,Oil prices rose in early trading Wednesday after the government reported that supplies shrank more than expected following production and shipping disruptions caused by Hurricane Ivan.
3,Coles Myer smashes profit forecasts,"Australia #39;s biggest retailer, Coles Myer, beat its forecasts with a 26.5 per cent rise to record annual profits and said it was on track to meet profit growth forecasts for the next two years."
1,Lebanon: Terror Suspects Linked to Bombing Plot Arrested,Lebanon says it has arrested 10 members of a suspected terror cell who allegedly were planning to bomb foreign diplomatic missions in Beirut and to attack coalition forces in Iraq.
3,Treasury Yields Hit 5-Month Lows (Reuters),"Reuters - U.S. benchmark Treasuries yields broke\beneath 4.0 percent on Wednesday for the first time in\five-months, driven in part by a jump in oil prices and a slide\in equities."
3,FedEx Earnings More Than Double (Reuters),"Reuters - FedEx Corp. , the world's top\air-express shipper, on Wednesday said quarterly earnings more\than doubled on strong growth in its international, ground and\freight services."
4,Antarctic Glaciers Melting Faster -Study (Reuters),"Reuters - Glaciers once held up by a floating\ice shelf off Antarctica are now sliding off into the sea --\and they are going fast, scientists said on Tuesday."
4,Coming Soon -- Gene-Engineered Insects (Reuters),Reuters - Coming soon to a jungle near you --\mosquitoes genetically engineered so they cannot give people\malaria. But this time scientists want to do it right.
3,"Morgan Stanley Profit Drops, Shares Fall"," NEW YORK (Reuters) - U.S. investment bank Morgan Stanley  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MWD.N target=/stocks/quickinfo/fullquote""&gt;MWD.N&lt;/A&gt; on Wednesday said quarterly profit dropped by a third  on lower bond trading revenue and higher expenses, falling  short of Wall Street's low expectations and pushing its shares  down as much as 8 percent."
3,European stocks end down,EUROPEAN stocks ended lower today after a terrorist attack in Saudi Arabia sent crude prices higher and a weak start to trading on Wall Street prompted selling.
3,"Commodities Rise, ConAgra Profit Falls"," CHICAGO (Reuters) - ConAgra Foods Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CAG.N target=/stocks/quickinfo/fullquote""&gt;CAG.N&lt;/A&gt; on Wednesday  posted lower quarterly profits due to higher ingredient costs  and the sale of its chicken and agricultural products  businesses."
3,Kimberly-Clark seeks cut of 400-500 million dollars,"DALLAS, United States (AFP) - Kimberly-Clark, maker of Kleenex tissues and other consumer goods, announced a cost-cutting plan aimed at saving 400 to 500 million dollars over three years, as well as a share buyback plan."
3,Computer Associates to Pay \$225 Million to Avoid Prosecution,The software giant agreed to pay \$225 million to avoid criminal prosecution in an accounting scandal that has brought down several of its top executives.
3,Oil prices rocket to new one-month highs after stocks plunge,LONDON : World oil prices sprinted up to new one-month high points as traders showed alarm at a steep fall in US crude oil inventories in the wake of Hurricane Ivan.
3,Hogwarts and All for Scholastic #39;s Q1,"Shareholders of Scholastic (NYSE: SCHL), the world #39;s largest publisher of children #39;s books and related educational materials, have grown accustomed to disappointing first-quarter results."
4,Ireland Launches Crackdown on Internet Scams,"Ireland #39;s crackdown is an effort to tackle rogue autodialler programs and modem hi-jacking.  quot;In many cases, the consumer will only realize they have fallen victim when they receive their phone "
4,"Motorola, NEC, Nokia, Samsung, Sharp, Sony Ericsson phones &lt;b&gt;...&lt;/b&gt;",Vodafone announced plans for 10 new third-generation handsets expected to hit the European and Japanese markets in time for the upcoming holiday shopping season.
1,Hostage Drama Continues As Another Beheaded Body Is Found,"An Iraqi militant group claims to have beheaded a second American hostage, two days after killing a US civil engineer. The group -- Al-Tawhid wa Al-Jihad, led by Al-Qaeda ally Abu Mus #39;ab al-Zarqawi -- is threatening "
1,Musharraf Says Victory in War on Terrorism Requires New Tactics,"Pakistan #39;s President Pervez Musharraf said not enough is being done to win the war on terrorism, and that an iron curtain #39; #39; could descend between the US and other western nations and the Islamic world."
3,"Commodities Rise, ConAgra Profit Falls (Reuters)",Reuters - ConAgra Foods Inc.  on Wednesday\posted lower quarterly profits due to higher ingredient costs\and the sale of its chicken and agricultural products\businesses.
3,China overtakes United States as top destination for foreign investment (AFP),"AFP - China overtook the United States as a top global destination for foreign direct investment (FDI) in 2003 while the Asia-Pacific region attracted more investment than any other developing region, a UN report said."
3,Oil prices rise above \$43 per barrel ahead of OPEC meeting,"NEW YORK, December 6 (newratings.com) - Oil prices increased today on fears of the announcement of an output cut by the OPEC during its meeting scheduled for later this week."
3,"Morgan Stanley Profit Down, Shares Drop"," NEW YORK (Reuters) - U.S. investment bank Morgan Stanley  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MWD.N target=/stocks/quickinfo/fullquote""&gt;MWD.N&lt;/A&gt; on Wednesday said quarterly profit dropped by a third  on lower bond trading revenue, weak equities results and higher  expenses, falling short of Wall Street's low expectations and  pushing its shares down as much as 8 percent."
3,Oil Reserves Drop for 1st Time in 5 Years," WASHINGTON (Reuters) - U.S. proven crude oil reserves fell  last year for the first time in five years, as energy companies  replaced just over half the oil they took out of the ground,  the U.S. government said on Wednesday."
