4,"RocketInfo Partners with Canadian Press, Helps Nascar","RocketInfo Partners with Canadian Press, Helps Nascar\\Rocketinfo Inc., news search engine announced yesterday that it has formed a key reseller alliance with the Canadian Press (CP), one of the top-rated multimedia news agencies in the world. CP plans to expand their media monitoring services by offering clients access to the ..."
3,Oil Rebounds After Iraq Pipeline Attack,Oil prices rose on Friday as a sabotage attack on Iraqi oil infrastructure reignited concern about the reliability of crude exports from the country despite a peace deal to end an uprising in Najaf.
3,US Second-Quarter GDP Downgraded,"The US economy grew more slowly in the second quarter than first thought amid shrinking corporate profits and higher imports, the government said on Friday in a report "
3,Deutsche Bank Arm in Multi-Million Dollar Payout,"The brokerage unit of Deutsche Bank has voluntarily agreed to pay almost \$90 million in compensation to settle allegations of misconduct, US regulators announced Friday."
3,Stocks Open Higher on Economic News,Stock prices are slightly higher after the latest reading on economic growth. The Dow Jones Industrial Average is up 1 point in today #39;s early going.
3,"Sprint, SBC join forces on Wi-Fi",Sprint said on Friday it has made a deal that will let it nearly double the number of places it offers short-range wireless Internet connections.
3,ECONOMY WEEKAHEAD-All Eyes on US Jobs Report,US jobs data will be the biggest show in town next week as speculation mounts as to whether the Federal Reserve will raise interest rates in September.
4,UN sees dire pollution in North Korea,"SEOUL The forests in North Korea are depleted, its rivers and streams are filled with runoff from factories and the country #39;s reliance on coal energy has created severe urban air pollution, the United Nations said on Friday in its first report on the "
2,Rogge says no to duplicate golds,"International Olympic Committee president Jacques Rogge said on Friday that the IOC had rejected South Korean requests for the awarding of duplicate gold medal to South Korean Yang Tae-Yong, who lost the men #39;s all-around gymnastics gold to American Paul "
2,Athletics: Greek celebration is not meant to be,"ATHENS As the sprinters walked out for the final of the men #39;s 200 meters, the crowd in the packed Olympic Stadium began to boo."
2,Athletics: Korzeniowski takes final walk into record books,ATHENS Robert Korzeniowski #39;s long road came to an end on Friday with an unprecedented third consecutive Olympic 50-kilometer race walk title.
1,Italy voices outrage at execution of hostage,ROME Italy expressed disgust and outrage on Friday after an Italian journalist held hostage by a radical Islamic group in Iraq was executed.
4,RealNetworks Gets in Content Business,RealNetworks survived the dot-com collapse and an assault from Microsoft. Now it's trying to remake itself into a provider of paid Internet content.
3,US Consumer Index Up from Early August (Reuters),"Reuters - U.S. consumer sentiment surpassed\expectations in late August after declining earlier in the\month as oil prices eased from record highs and security fears\abated, according to sources who saw a survey on Friday."
3,"Treasuries Slide as GDP Slows, Not Slumps (Reuters)","Reuters - Treasuries prices shed early gains on\Friday after U.S. data confirmed the economy slowed markedly\last quarter, but overall the numbers were not quite as weak as\bulls had been betting on."
4,"Sprint, SBC in Short-Range Wireless Roaming Deal (Reuters)",Reuters - Sprint Corp. (FON.N) said on  Friday\it made a deal that will let it nearly double the number of\places it offers short-range wireless Internet connections.
1,Bush Seeks  #36;2 Billion in Hurricane Aid (AP),"AP - President Bush will ask Congress for  #36;2 billion to help victims of Hurricane Charley, the White House said Friday."
1,Polls show Bush slighly ahead of Kerry (AFP),"AFP - Three US opinion surveys show President George W. Bush pulling slightly ahead of John Kerry, his Democratic contender in the November 2 election, but by a small enough margin that both men are still locked in a statistical dead heat."
2,Track Chiefs Scold Local Fans Over Jeers, ATHENS (Reuters) - The governing body of world athletics  Friday condemned the behavior of local fans who delayed the  start of the men's 200 meters final with deafening boos and  whistles.
3,Greenspan-Aged Population to Hit Finances," JACKSON HOLE, Wyo (Reuters) - Rising pressure on U.S.  finances from an aging population make it vital quickly fix the  social safety net with such steps as raising the age for full  retirement benefits, Federal Reserve Chairman Alan Greenspan  said on Friday."
3,Interbrew Ambev Buy Wins Shareholder OK," BRUSSELS/SAO PAULO (Reuters) - Shareholders gave their  blessing on Friday for Belgium's Interbrew &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=INTB.BR target=/stocks/quickinfo/fullquote""&gt;INTB.BR&lt;/A&gt; to buy  Brazil's AmBev &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMBV4.SA target=/stocks/quickinfo/fullquote""&gt;AMBV4.SA&lt;/A&gt; &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ABV.N target=/stocks/quickinfo/fullquote""&gt;ABV.N&lt;/A&gt; in a deal valued at about 8  billion euros (\$9.7 billion) that will create the world's  largest brewer."
1,Zimbabwe Convicts Alleged 'Mercenary' Leader," HARARE, Zimbabwe (Reuters) - A court in Zimbabwe Friday  convicted the British leader of an alleged coup plot against  the government of oil-rich Equatorial Guinea on weapons  charges, but acquitted most of the 69 other men held with him."
