3,Spectrum-FDA OKs Generic Version of Cipro (Reuters),"Reuters - Spectrum Pharmaceuticals  said\on Friday U.S. regulators have approved its generic version of\Bayer's   Cipro antibiotic, triggering a  #36;750,000\equity investment by one of its partners."
1,Officials Search al-Qaida Video for Clues (AP),AP - U.S. intelligence officials are studying the latest video from Osama bin Laden's top deputy to learn if the message is simply to rally al-Qaida's faithful  #151; or if it's an indication of events to come.
2,Drexler Headlines Hall of Fame Inductees (Reuters),Reuters - Former\Portland Trail Blazers guard Clyde Drexler highlights the class\of 2004 inductees for the Basketball Hall of Fame.
2,Mauresmo Takes Over as World Number One, NEW YORK (Reuters) - Amelie Mauresmo became world number  one for the first time after Lindsay Davenport was defeated by  Svetlana Kuznetsova in the U.S. Open semi-finals on Friday.
3,Spectrum-FDA OKs Generic Version of Cipro," CHICAGO (Reuters) - Spectrum Pharmaceuticals &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SPPI.O target=/stocks/quickinfo/fullquote""&gt;SPPI.O&lt;/A&gt; said  on Friday U.S. regulators have approved its generic version of  Bayer's &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BAYG.DE target=/stocks/quickinfo/fullquote""&gt;BAYG.DE&lt;/A&gt;  Cipro antibiotic, triggering a \$750,000  equity investment by one of its partners."
2,Drexler Headlines Hall of Fame Inductees," SPRINGFIELD, Massachusetts (Sports Network) - Former  Portland Trail Blazers guard Clyde Drexler highlights the class  of 2004 inductees for the Basketball Hall of Fame."
3,Delta's Bid to ChangeTerms Is Rejected," NEW YORK (Reuters) - Delta Air Lines Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DAL.N target=/stocks/quickinfo/fullquote""&gt;DAL.N&lt;/A&gt; on Friday  said a group of bond holders refused to change the terms of  their securities, adding to the headwinds the airline faces as  it struggles to avoid bankruptcy."
3,Dollar Slips on Weaker Producer Prices, CHICAGO (Reuters) - The dollar eased on Friday after an  August decline in U.S. producer prices undermined forecasts for  dollar-boosting Federal Reserve interest rate hikes beyond  September.
4,"Briefly: Transmeta starts new chip, warns on earnings","roundup Plus: Keynote to buy researcher Vividence...Melinda Gates joins Washington Post board...The Woz has got game...Opera browsing, as seen on TV...EdgeStream introduces IPTV platform...Dolby, Intel sound off for developers."
3,Disney #39;s Eisner to leave company in 2006,"Eisner has said that Disney President and Chief Operating Officer Bob Iger would be his choice as successor, but the Disney board is expected to consider many candidates."
3,"US Airways Gives Pilots, Flight Attendants New Offer (Update3)","US Airways Group Inc., struggling to avoid a second bankruptcy since 2002, gave its pilots #39; union a new plan for \$295 million in pay and benefit cuts three days after the group rejected a prior offer."
3,UPDATE 2-Delta bid to change debt terms is rejected,"Delta Air Lines Inc. (DAL.N: Quote, Profile, Research) on Friday said a group of bond holders refused to change the terms of their securities, adding to the headwinds "
3,Moody #39;s upgrades Lucent Technologies debt ratings,"Moody #39;s Investors Service upgraded the debt ratings for Lucent Technologies on Friday, citing the company #39;s adequate funds, stabilizing revenue and progress in improving profitability and cash flow."
