1,Iran Hints at Agreeing to Enrichment Freeze (Reuters),Reuters - Iran's top security official suggested\on Monday Tehran may agree to extend its freeze on uranium\enrichment but warned it could not be forced to scrap its\nuclear technology for good.
1,"London's penniless Tate Gallery welcomes gifts,legacies (AFP)","AFP - British artists Damien Hirst and David Hockney are to make gifts of some of their paintings to the Tate Gallery in London, which can no longer afford such works, its director Nicholas Serota said."
1,Quebec City bus drivers to vote on contract to end three-day strike (Canadian Press),Canadian Press - QUEBEC (CP) - Bus drivers in Quebec City were expected to vote Monday night on ending a three-day walkout that stranded hundreds of commuters.
4,Outrage at Seal Hunt Tourism Is Nonsense - Norway (Reuters),"Reuters - Foreign outrage at a Norwegian plan to let\tourists go on seal-shooting trips is mostly ""emotional\nonsense,"" a senior official said on Monday."
3,WellPoint Health Profit Up on Premiums," CHICAGO (Reuters) - WellPoint Health Networks Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=WLP.N target=/stocks/quickinfo/fullquote""&gt;WLP.N&lt;/A&gt;,  the No. 2 health insurer by enrollment in the U.S., on Monday  posted a steep rise in quarterly profit as it kept health  premiums above rising medical costs and added new members."
3,"Stocks Flat, Oil Retreats, Dollar Weakens", NEW YORK (Reuters) - Stocks finished little changed on  Monday as a retreat in crude prices from a record high offset  investors' caution about the U.S. presidential election and a  fall in the dollar.
3,Marsh  amp; McLennan Chairman Resigns Post,"Jeffrey W. Greenberg, chairman and chief executive of Marsh  amp; McLennan Companies Inc., which is the target of a bid-rigging investigation by New York #39;s attorney general, submitted his resignation on Monday, the company said."
3,American Express 3rd-Quarter Net Rises 14 on Travel (Update3),"American Express Co., the fourth- largest US credit-card issuer, said quarterly profit climbed 14 percent to a record as customers spent more on travel and carried larger loan balances."
4,PalmOne Unveils Treo 650,"PalmOne today unveiled its latest addition to the Treo Smartphone range, the Treo 650 targeted at mobile professionals. Available as either a digital dual-band or quad-band world phone, the "
4,Adobe and Yahoo! Team to Deliver New Consumer Services,"Companies to Provide Consumers with Access to Yahoo! Search Through Adobe Reader and Co-branded Toolbar Featuring Adobe Services. SAN JOSE, Calif."
4,Intel Lays Out Future Product Roadmap,"Intel said it was already starting to explore options such as carbon nanotubes and nanowires. Such materials will be needed to take chips below the 10 nanometer size, which is expected to occur early in the next decade."
2,Red Sox Fans Really Do Cover the Nation (AP),"AP - It's 5 a.m. in Tashkent, Uzbekistan. Most people are sleeping or rubbing their eyes as they get ready for work. Ric Glaub and his friends, however, have their game faces on."
4,Intel Invests in New Wireless Venture (AP),"AP - Hoping to accelerate the deployment of a new wireless technology, Intel Corp. announced Monday it's invested in a venture started by billionaire Craig McCaw to deliver high-speed Internet service over the airwaves."
4,Cingular clears hurdle for AT T Wireless acquisition,"WASHINGTON - Cingular Wireless LLC will divest itself of wireless customers and other assets in 13 U.S. markets as a requirement for its \$41 billion acquisition of AT T Wireless Services Inc., according to an consent decree announced Monday by the company and the U.S. Department of Justice (DOJ)."
4,Bird fossil may show dinosaur link,Scientists in China have found a 120 million-year-old fossil of a baby bird which is believed to have died just before it hatched and which could shed light on the relationship between dinosaurs and birds.
1,British man loses driver's license for drunk driving on a lawn mower (AFP),AFP - A 50-year-old British man arrested while driving his lawnmower in a state of intoxication had his automobile license revoked for one year by a British court.
2,NCAA Graduation Rates Hold Steady (AP),"AP - The graduation rate for major college football players increased for the fourth straight year, and the rate for all Division I athletes remained at 62 percent, or 2 percent higher than the general student population."
